Accuracy,Balanced_Accuracy,Sensitivity,Specificity,Precision,F1,MCC,AUC_ROC,PR_AUC,Brier,MS_Research_Score,Model,Fold,Best_Params
0.5217391304347826,0.4151785714285714,0.6875,0.14285714285714285,0.6470588235294118,0.6666666666666666,-0.17776428228421592,0.4553571428571429,0.72289016936366,0.40752419635482773,54.15,Logistic Regression,1,"{""kbest__k"": 200, ""model__C"": 10, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}"
0.7391304347826086,0.6919642857142857,0.8125,0.5714285714285714,0.8125,0.8125,0.38392857142857145,0.6964285714285714,0.8268912054685083,0.20064970349401523,74.82,Logistic Regression,2,"{""kbest__k"": 200, ""model__C"": 0.01, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}"
0.8260869565217391,0.7946428571428572,0.875,0.7142857142857143,0.875,0.875,0.5892857142857143,0.9464285714285714,0.977890114379085,0.11865797516348618,88.48,Logistic Regression,3,"{""kbest__k"": 200, ""model__C"": 10, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}"
0.8695652173913043,0.8660714285714286,0.875,0.8571428571428571,0.9333333333333333,0.9032258064516129,0.7073171983259131,0.9642857142857143,0.9837863270308124,0.07538810797627819,91.87,Logistic Regression,4,"{""kbest__k"": 200, ""model__C"": 10, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}"
0.7391304347826086,0.6833333333333333,0.8666666666666667,0.5,0.7647058823529411,0.8125,0.397705839334203,0.7166666666666667,0.8128619219331294,0.19480960765659527,75.45,Logistic Regression,5,"{""kbest__k"": 100, ""model__C"": 0.01, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}"
0.6086956521739131,0.4776785714285714,0.8125,0.14285714285714285,0.6842105263157895,0.7428571428571429,-0.05419437309525749,0.46428571428571425,0.7250321246306154,0.31786870229800923,59.19,SVM,1,"{""kbest__k"": 200, ""model__C"": 0.1, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}"
0.782608695652174,0.6830357142857143,0.9375,0.42857142857142855,0.7894736842105263,0.8571428571428571,0.4443938593811115,0.7589285714285714,0.883637293058249,0.16836795253551803,78.98,SVM,2,"{""kbest__k"": 200, ""model__C"": 0.1, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}"
0.8260869565217391,0.7946428571428572,0.875,0.7142857142857143,0.875,0.875,0.5892857142857143,0.9285714285714286,0.9686181363571069,0.10605662787794293,88.02,SVM,3,"{""kbest__k"": 200, ""model__C"": 0.1, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}"
0.8695652173913043,0.8258928571428572,0.9375,0.7142857142857143,0.8823529411764706,0.9090909090909091,0.6829890845656718,0.9553571428571428,0.9805183531746032,0.07621401926288231,91.07,SVM,4,"{""kbest__k"": 200, ""model__C"": 0.1, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}"
0.782608695652174,0.7166666666666667,0.9333333333333333,0.5,0.7777777777777778,0.8484848484848485,0.5003702332976756,0.6916666666666667,0.825255931432402,0.19453464438605259,77.04,SVM,5,"{""kbest__k"": 50, ""model__C"": 1, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}"
0.43478260869565216,0.4330357142857143,0.4375,0.42857142857142855,0.6363636363636364,0.5185185185185185,-0.12336594280495668,0.4732142857142858,0.7340899244253078,0.29057255725561654,52.49,Random Forest,1,"{""kbest__k"": 100, ""model__max_depth"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}"
