Model,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,Precision,F1,MCC,AUC_ROC,PR_AUC,Brier,MS_Research_Score,AUC_95CI,Sensitivity_95CI,Specificity_95CI,Runtime_sec,Outer_CV_Folds,Inner_CV_Folds
SVM,0.7739130434782608,0.6993670886075949,0.8987341772151899,0.5,0.797752808988764,0.8452380952380952,0.44204510038016037,0.7401547116736991,0.8282726079072129,0.172608389272081,77.62,"[0.630, 0.844]","[0.829, 0.962]","[0.341, 0.659]",7.03,5,3
Neural Network,0.7478260869565218,0.7030590717299579,0.8227848101265823,0.5833333333333334,0.8125,0.8176100628930818,0.40929663347896617,0.7390998593530239,0.8223659033220487,0.2142052330301642,76.17,"[0.635, 0.838]","[0.740, 0.905]","[0.417, 0.738]",25.38,5,3
Logistic Regression,0.7391304347826086,0.689170182841069,0.8227848101265823,0.5555555555555556,0.8024691358024691,0.8125,0.38447269979753823,0.7345288326300984,0.8280540233576883,0.1994059181290405,75.82,"[0.623, 0.835]","[0.735, 0.901]","[0.389, 0.711]",7.76,5,3
External Logistic Regression,0.7391304347826086,0.689170182841069,0.8227848101265823,0.5555555555555556,0.8024691358024691,0.8125,0.38447269979753823,0.7345288326300984,0.8280540233576883,0.1994059181290405,75.82,"[0.623, 0.835]","[0.735, 0.901]","[0.389, 0.711]",5.85,5,3
Random Forest,0.6173913043478261,0.5778832630098453,0.6835443037974683,0.4722222222222222,0.7397260273972602,0.7105263157894737,0.15002127597178297,0.6409985935302391,0.774751156379602,0.2216775987845157,66.71,"[0.532, 0.755]","[0.582, 0.782]","[0.312, 0.633]",34.41,5,3
Gradient Boosting,0.6434782608695652,0.5741912798874824,0.759493670886076,0.3888888888888889,0.7317073170731707,0.7453416149068323,0.15211910403579024,0.5847398030942335,0.7361744047070308,0.2627895750382519,65.31,"[0.473, 0.698]","[0.662, 0.850]","[0.235, 0.558]",17.44,5,3
Naive Bayes,0.6086956521739131,0.6017932489451476,0.620253164556962,0.5833333333333334,0.765625,0.6853146853146853,0.19003723051649055,0.6462728551336147,0.7815230351979124,0.37396933731809995,65.25,"[0.542, 0.755]","[0.512, 0.727]","[0.424, 0.745]",5.52,5,3
External Random Forest,0.6,0.565225035161744,0.6582278481012658,0.4722222222222222,0.7323943661971831,0.6933333333333334,0.12446682202714052,0.6174402250351616,0.7696451392374661,0.22912221516120743,65.16,"[0.511, 0.730]","[0.553, 0.760]","[0.308, 0.639]",9.29,5,3
KNN,0.5391304347826087,0.5813994374120957,0.46835443037974683,0.6944444444444444,0.7708333333333334,0.5826771653543307,0.1530940016279309,0.621308016877637,0.7574145606028223,0.29531879099592995,61.89,"[0.510, 0.734]","[0.357, 0.578]","[0.538, 0.842]",12.01,5,3
